sample,condition,gene,normalized_counts
fuso2,fuso,EFCAB1,17.6467778009603
fuso2,fuso,ARC,119.115750156482
fuso2,fuso,C9orf24,15.4409305758403
fuso2,fuso,GADD45G,220.584722512004
fuso2,fuso,PALM2-AKAP2,57.352027853121
fuso2,fuso,IER5L,397.052500521607
fuso2,fuso,MSMB,8726.33162257487
fuso2,fuso,DYDC2,8.82338890048015
fuso2,fuso,INA,48.5286389526408
fuso2,fuso,FUOM,39.7052500521607
fuso2,fuso,PGGHG,35.2935556019206
fuso2,fuso,CDKN1C,341.906319893606
fuso2,fuso,LINC02709,8.82338890048015
fuso2,fuso,MMP7,50.7344861777609
fuso2,fuso,MIR200CHG,44.1169445024007
fuso2,fuso,ERP27,8.82338890048015
fuso2,fuso,AC023157.3,176.467778009603
fuso2,fuso,NR4A1,255.878278113924
fuso2,fuso,PCDH9,55.1461806280009
fuso2,fuso,LINC02300,44.1169445024007
fuso2,fuso,FOS,855.868723346574
fuso2,fuso,AL357093.2,13.2350833507202
fuso2,fuso,CYP1A1,11.0292361256002
fuso2,fuso,MSLN,108.086514030882
fuso2,fuso,CRYM,37.4994028270406
fuso2,fuso,CHP2,59.557875078241
fuso2,fuso,HSD17B2,145.585916857922
fuso2,fuso,ZFPM1,127.939139056962
fuso2,fuso,LINC00324,90.4397362299215
fuso2,fuso,RASD1,132.350833507202
fuso2,fuso,OMG,33.0877083768005
fuso2,fuso,KRTAP3-1,15.4409305758403
fuso2,fuso,NGFR,68.3812639787211
fuso2,fuso,LINC01970,30.8818611516805
fuso2,fuso,DSC3,74.9988056540813
fuso2,fuso,DSG3,35.2935556019206
fuso2,fuso,GADD45B,1835.26489129987
fuso2,fuso,CDC42EP5,1109.54115423538
fuso2,fuso,TMEM190,15.4409305758403
fuso2,fuso,TMEM238,44.1169445024007
fuso2,fuso,AC012313.1,2.20584722512004
fuso2,fuso,PLCB1,11.0292361256002
fuso2,fuso,BPIFA2,271.319208689765
fuso2,fuso,TIAM1,72.7929584289612
fuso3,fuso,HES5,21.5404541317929
fuso3,fuso,POU3F1,11.9669189621072
fuso3,fuso,EDN2,31.1139893014787
fuso3,fuso,FAM183A,20.9421081836876
fuso3,fuso,PIFO,42.4825623154805
fuso3,fuso,AL451085.1,4.78676758484287
fuso3,fuso,HSPA6,288.402746986783
fuso3,fuso,FMO2,40.0891785230591
fuso3,fuso,LEMD1,49.6627136927448
fuso3,fuso,EHD3,10.1718811177911
fuso3,fuso,CYP1B1,391.318250060905
fuso3,fuso,DUSP2,168.733557365711
fuso3,fuso,AC013264.1,10.1718811177911
fuso3,fuso,HES1,879.568543714878
fuso3,fuso,ADH1C,38.294140678743
fuso3,fuso,PCDH10,1.19669189621072
fuso3,fuso,C5orf49,46.670983952218
fuso3,fuso,CDC20B,4.18842163673752
fuso3,fuso,FAM169A,12.5652649102125
fuso3,fuso,LTC4S,32.3106811976894
fuso3,fuso,HSPA1A,3608.02606707532
fuso3,fuso,HSPA1B,1789.05438483502
fuso3,fuso,GSTA1,336.270422835212
fuso3,fuso,AL355312.4,50.8594055889555
fuso3,fuso,PIP,674.33588351474
fuso3,fuso,NEFM,33.5073730939001
fuso3,fuso,EFCAB1,16.1553405988447
fuso3,fuso,ARC,11.9669189621072
fuso3,fuso,C9orf24,41.8842163673752
fuso3,fuso,GADD45G,87.9568543714878
fuso3,fuso,PALM2-AKAP2,57.4412110181145
fuso3,fuso,IER5L,666.55738618937
fuso3,fuso,MSMB,21709.7860351068
fuso3,fuso,DYDC2,7.18015137726431
fuso3,fuso,INA,56.2445191219038
fuso3,fuso,FUOM,56.2445191219038
fuso3,fuso,PGGHG,38.8924866268484
fuso3,fuso,CDKN1C,383.539752735535
fuso3,fuso,LINC02709,7.18015137726431
fuso3,fuso,MMP7,132.83280047939
fuso3,fuso,MIR200CHG,49.0643677446395
fuso3,fuso,ERP27,14.3603027545286
fuso3,fuso,AC023157.3,71.2031678245378
fuso3,fuso,NR4A1,114.284076088124
fuso3,fuso,PCDH9,3.59007568863216
fuso3,fuso,LINC02300,20.3437622355822
fuso3,fuso,FOS,937.009754732993
fuso3,fuso,AL357093.2,13.1636108583179
fuso3,fuso,CYP1A1,14.958648702634
fuso3,fuso,MSLN,208.82273588877
fuso3,fuso,CRYM,23.9338379242144
fuso3,fuso,CHP2,37.6957947306376
fuso3,fuso,HSD17B2,150.184832974445
fuso3,fuso,ZFPM1,180.102130379713
fuso3,fuso,LINC00324,50.2610596408502
fuso3,fuso,RASD1,77.1866273055914
fuso3,fuso,OMG,34.7040649901108
fuso3,fuso,KRTAP3-1,4.78676758484287
fuso3,fuso,NGFR,40.0891785230591
fuso3,fuso,LINC01970,13.7619568064233
fuso3,fuso,DSC3,108.898962555175
fuso3,fuso,DSG3,44.2776001597966
fuso3,fuso,GADD45B,957.353516968575
fuso3,fuso,CDC42EP5,992.057581958686
fuso3,fuso,TMEM190,77.7849732536967
fuso3,fuso,TMEM238,194.462433134242
fuso3,fuso,AC012313.1,4.78676758484287
fuso3,fuso,PLCB1,14.958648702634
fuso3,fuso,BPIFA2,347.638995849214
fuso3,fuso,TIAM1,72.3998597207485
